time (s),signal
0.000000,-0.004322710
0.001000,0.192021126
0.002000,0.388697380
0.003000,0.603205848
0.004000,0.761448901
0.005000,0.894363970
0.006000,1.112149805
0.007000,1.244138742
0.008000,1.381121468
0.009000,1.510720303
0.010000,1.616877928
0.011000,1.729717944
0.012000,1.781120791
0.013000,1.812818304
0.014000,1.816959078
0.015000,1.820137156
0.016000,1.851910750
0.017000,1.861142118
0.018000,1.784802467
0.019000,1.727880816
0.020000,1.681821342
0.021000,1.545996861
0.022000,1.494684314
0.023000,1.425786892
0.024000,1.338781623
0.025000,1.203259734
0.026000,1.117959920
0.027000,1.010401964
0.028000,0.924559756
0.029000,0.769272240
0.030000,0.726189418
0.031000,0.576344385
0.032000,0.463057553
0.033000,0.451421781
0.034000,0.378857671
0.035000,0.378450380
0.036000,0.327242817
0.037000,0.235138907
0.038000,0.270505666
0.039000,0.196890055
0.040000,0.214069835
0.041000,0.204535814
0.042000,0.219497930
0.043000,0.248260365
0.044000,0.254233035
0.045000,0.259463881
0.046000,0.283599024
0.047000,0.293580846
0.048000,0.274317147
0.049000,0.283130680
0.050000,0.298645551
0.051000,0.331446745
0.052000,0.307517709
0.053000,0.377840818
0.054000,0.269663061
0.055000,0.241192698
0.056000,0.270479162
0.057000,0.256790660
0.058000,0.189742009
0.059000,0.154267982
0.060000,0.121419109
0.061000,0.020833831
0.062000,-0.077508994
0.063000,-0.111741109
0.064000,-0.129533969
0.065000,-0.264000483
0.066000,-0.281297305
0.067000,-0.334181793
0.068000,-0.407435289
0.069000,-0.428071055
0.070000,-0.478792119
0.071000,-0.466744819
0.072000,-0.550945927
0.073000,-0.613378951
0.074000,-0.629478501
0.075000,-0.646844390
0.076000,-0.594310194
0.077000,-0.632738036
0.078000,-0.602932203
0.079000,-0.556231081
0.080000,-0.571836800
0.081000,-0.524815709
0.082000,-0.532634068
0.083000,-0.467972980
0.084000,-0.408650644
0.085000,-0.334663726
0.086000,-0.267677193
0.087000,-0.262654657
0.088000,-0.216581309
0.089000,-0.186788501
0.090000,-0.133074171
0.091000,-0.120175571
0.092000,-0.128742366
0.093000,-0.166753569
0.094000,-0.118977227
0.095000,-0.154957111
0.096000,-0.160793485
0.097000,-0.240624113
0.098000,-0.233934245
0.099000,-0.366285416
0.100000,-0.380183620
0.101000,-0.505480789
0.102000,-0.612700861
0.103000,-0.725278016
0.104000,-0.794534100
0.105000,-0.848528676
0.106000,-0.968764806
0.107000,-1.073485418
0.108000,-1.263202531
0.109000,-1.263242534
0.110000,-1.353423493
0.111000,-1.463076426
0.112000,-1.530996230
0.113000,-1.565252180
0.114000,-1.552317536
0.115000,-1.659127557
0.116000,-1.647130227
